Annual_Rainfall_(mm),Min_Temperature_(°C),Max_Temperature_(°C),Year,Kharif_Area_(Hectare),Kharif_Production_(Tonnes),Kharif_Yield_(Tonne/Hectare),Rabi_Area_(Hectare),Rabi_Production_(Tonnes),Rabi_Yield_(Tonne/Hectare),Market_Price_Max,Market_Price_Min,Average_Market_Price,Area_Irrigated,Gross_Area_Irrigated,Alluvial Soil,Black Soil,Clayey Soil,Red Soil,Sandy,Sandy Loam,Zone_Central Telangana Zone,Zone_Northern Telangana Zone,Zone_Southern Telangana Zone,District_Adilabad,District_Bhadradri Kothagudem,District_Jagtial,District_Jangaon,District_Jayashankar Bhupalpally,District_Jogulamba Gadwal,District_Kamareddy,District_Karimnagar,District_Khammam,District_Komaram Bheem Asifabad,District_Mahabubabad,District_Mahbubnagar,District_Mancherial,District_Medak,District_Medchal Malkajgiri,District_Mulugu,District_Nagarkurnool,District_Nalgonda,District_Nirmal,District_Nizamabad,District_Peddapalli,District_Rajanna Sircilla,District_Rangareddy,District_Siddipet,District_Suryapet,District_Vikarabad,District_Wanaparthy,District_Warangal Rural,District_Warangal Urban,District_Yadadri Bhuvanagiri,Crop_Bengal Gram,Crop_Black Gram,Crop_Castor,Crop_Cotton,Crop_Cowpea,Crop_Dry Chillies,Crop_Green Gram,Crop_Groundnut,Crop_Maize,Crop_Minor Millets,Crop_Red Gram,Crop_Rice,Crop_Sesame,Crop_Sorghum,Crop_Sorghum(white),Crop_Soyabean,Crop_Sunflower,Crop_Turmeric,Crop_wheat,season_Kharif,season_Rabi,Kharif_Revenue,Rabi_Revenue
989.0,16.2,38.7,2022-2023,2560.0,2025.0,0.79,2.0,2.0,1.0,7373.0,7373.0,7373.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,14911155.2,14746.0
989.0,16.2,38.7,2022-2023,0.0,0.0,0.0,35633.0,55873.0,1.57,7029.0,6809.0,6919.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,387075221.39
989.0,16.2,38.7,2022-2023,36290.0,49572.0,1.37,666.0,1036.0,1.56,3912.0,3912.0,3912.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,194494077.60000002,4064411.52
989.0,16.2,38.7,2022-2023,30149.0,133228.0,4.42,15398.0,97177.0,6.31,2407.0,2407.0,2407.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,320753402.06,233867441.65999997
989.0,16.2,38.7,2022-2023,20.0,14.0,0.7,7790.0,30630.0,3.93,1805.0,1805.0,1805.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,25270.0,55259533.50000001
902.0,16.9,38.9,2022-2023,110266.0,359357.0,3.26,109804.0,346432.0,3.16,2207.05,2198.64,2202.845,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,791850436.0701998,764344567.9208
902.0,16.9,38.9,2022-2023,0.0,0.0,0.0,19.0,20.0,1.05,5750.67,4751.67,5251.17,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,104760.84150000001
902.0,16.9,38.9,2022-2023,50.0,25.0,0.5,16.0,11.0,0.69,7495.5,7495.5,7495.5,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,187387.5,82750.31999999999
902.0,16.9,38.9,2022-2023,0.0,0.0,0.0,13.0,10.0,0.77,10359.0,10359.0,10359.0,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0,103693.59
902.0,16.9,38.9,2022-2023,20928.0,75341.0,3.6,48.0,173.0,3.6,7246.0,6825.95,7035.975,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,530095985.28000003,1215816.48
