,,,,,,,,kharif season,,,Rabi Season,,,,,,,
Name of the Zone,District ,Soil Type,Crop,Annual Rainfall (mm),Min-Temperature(Degrees Celsius),Max-Temperature(Degrees Celsius),Year,Area(Hectare)k,Production (Tonnes)k,Yield (Tonne/Hectare)k,Area(Hectare),Production (Tonnes),Yield (Tonne/Hectare),Market Price(max),Market price (min),Average Market price,"Area Irrigated more than once
More than Once",Gross area irrigated
Northern Telangana Zone,Komaram Bheem Asifabad,"Black Soil, Red Soil, Sandy Loam",maize,1189,16.9,39.5,2022-2023,365,1662,4.55,937,4725,5.04,2300,2300,2300,86569,86569
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",Cotton,1047,16.9,38.7,2022-2023,39058,118093,3.02,23,70,3.04,7774,5858,6816,482742,482742
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",Dry Chillies,1047,16.9,38.7,2022-2023,22705,84077,3.7,6,31,5.17,15909,10529,13219,482742,482742
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",Black Gram,1047,16.9,38.7,2022-2023,9,6,0.67,223,197,0.88,7502,6252,6877,482742,482742
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",Groundnut,1047,16.9,38.7,2022-2024,37,83,2.24,280,556,1.99,6052,2356,4204,482742,482742
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",Cowpea,1047,16.9,38.7,2022-2025,22,16,0.76,838,503,0.6,7702,7566,7634,482742,482742
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",maize,1047,16.9,38.7,2022-2026,22030,90720,4.12,18423,119753,6.5,2136,1525,1830.5,482742,482742
Central Telangana Zone,Mahabubabad,"Red Soil, Sandy Loam, Clayey Soil",Green Gram,1047,16.9,38.7,2022-2027,1185,571,0.48,1033,1056,1.02,6052,2356,4204,482742,482742
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Bengal Gram,655,16.9,38.6,2022-2022,9,6,0.67,223,197,0.88,6536.33,5203,5869.665,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Groundnut,655,16.9,38.6,2022-2023,18,43,2.39,4709,8895,1.89,6959,4009,5484,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Red Gram,655,16.9,38.6,2022-2023,0,0,0,2,3,1.5,6784.17,6067.25,6425.71,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Black Gram,655,16.9,38.6,2022-2024,20,14,0.7,24,38,1.5,6327.33,5688.33,6007.83,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Castor,655,16.9,38.6,2022-2023,407,148,0.36,228,258,1.13,5653,5529.9,5591.45,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Sorghum,655,16.9,38.6,2022-2023,5706,3526,0.62,173,357,2.06,2261.6,2135.4,2198.5,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Maize,655,16.9,38.6,2022-2024,11678,38000,3.25,1962,13591,6.93,2298.93,2136.71,2217.82,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Rice,655,16.9,38.6,2022-2023,85844,289981,3.38,59454,209694,3.53,2381.13,2237.31,2309.22,368610,370697
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Cotton,655,16.9,38.6,2022-2023,42574,110192,2.59,3,8,2.67,6411.43,5928.57,6170,368610,370697
